Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Source Code,FAO Source,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","1995","1995","1000 persons","270","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","1995","1995","%","69","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","1995","1995","%","71.6","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","1995","1995","%","1.1424944401","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","1995","1995","%","7.3","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","1996","1996","1000 persons","269","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","1996","1996","%","67.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","1996","1996","%","70.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","1996","1996","%","1.1631664038","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","1996","1996","%","7.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","1997","1997","1000 persons","249","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","1997","1997","%","67.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","1997","1997","%","70.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","1997","1997","%","1.0614345074","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","1997","1997","%","6.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","1998","1998","1000 persons","235","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","1998","1998","%","67.4","X","International reliable sources","EU Labour Force Survey"
