Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1961","1961","%","47.51","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1962","1962","%","47.61","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1963","1963","%","47.45","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1964","1964","%","47.66","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1965","1965","%","47.92","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1966","1966","%","47.45","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1967","1967","%","47.43","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1968","1968","%","47.66","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1969","1969","%","47.3","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1970","1970","%","47.54","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1971","1971","%","47.79","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1972","1972","%","48.02","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1973","1973","%","46.99","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1974","1974","%","47.2","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1975","1975","%","47.37","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1976","1976","%","47.75","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1977","1977","%","48.12","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1978","1978","%","48.64","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1979","1979","%","48.46","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1980","1980","%","48.9","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1981","1981","%","49.09","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1982","1982","%","48.84","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1983","1983","%","47.56","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1984","1984","%","47.64","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1985","1985","%","47.67","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1986","1986","%","47.54","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1987","1987","%","47.52","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1988","1988","%","47.83","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1989","1989","%","47.83","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1990","1990","%","47.16","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1991","1991","%","47.58","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1992","1992","%","47.66","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1993","1993","%","47.32","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1994","1994","%","47.53","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1995","1995","%","47.43","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1996","1996","%","47.42","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1997","1997","%","47.43","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1998","1998","%","47.43","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","1999","1999","%","47.44","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2000","2000","%","47.58","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2001","2001","%","47.56","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2002","2002","%","47.72","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2003","2003","%","47.83","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2004","2004","%","48.1","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2005","2005","%","48.33","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2006","2006","%","48.44","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2007","2007","%","48.62","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2008","2008","%","48.73","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2009","2009","%","48.89","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2010","2010","%","49.07","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2011","2011","%","49.31","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2012","2012","%","49.54","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2013","2013","%","49.84","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2014","2014","%","49.8","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2015","2015","%","49.52","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","50.35","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1961","1961","%","1.83","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1962","1962","%","1.84","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1963","1963","%","1.86","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1964","1964","%","1.93","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1965","1965","%","1.96","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1966","1966","%","2.06","Fc","Calculated data"
"EL","Land use indicators","11","Austria","7208","Share in Agricultural land","6650","Land under permanent crops","1967","1967","%","2.07","Fc","Calculated data"
