Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1961","1961","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1962","1962","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1963","1963","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1964","1964","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1965","1965","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1966","1966","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1967","1967","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1968","1968","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1969","1969","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1970","1970","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1971","1971","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1972","1972","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1973","1973","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1974","1974","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1975","1975","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1976","1976","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6600","Country area","1977","1977","1000 ha","8387.9","Q","Official data reported on FAO Questionnaires from countries"
