Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","6936.439","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","6931.338","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","6931.196","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","6935.142","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","6942.619","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","6953.406","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","6967.625","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","6985.724","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","7008.424","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","7036.55","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
