Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2005","2005","tonnes","3301","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2006","2006","tonnes","2405","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2007","2007","tonnes","1700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2008","2008","tonnes","1200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2009","2009","tonnes","1400","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2010","2010","tonnes","3500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2011","2011","tonnes","6000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2005","2005","tonnes","211808","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2006","2006","tonnes","210896","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2007","2007","tonnes","190600","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2008","2008","tonnes","178000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2009","2009","tonnes","200000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2010","2010","tonnes","220000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2011","2011","tonnes","225000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2004","2004","tonnes","14883","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2005","2005","tonnes","14883","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2006","2006","tonnes","14801","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2007","2007","tonnes","12194","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2008","2008","tonnes","13000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2009","2009","tonnes","16000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2010","2010","tonnes","12000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2011","2011","tonnes","14000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2004","2004","tonnes","12","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2006","2006","tonnes","2141","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4021","NPK fertilizers","2004","2004","tonnes","171281","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4021","NPK fertilizers","2005","2005","tonnes","188510","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4021","NPK fertilizers","2006","2006","tonnes","167763","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","11","Austria","5157","Agricultural Use","4021","NPK fertilizers","2007","2007","tonnes","125000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
