Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","4246","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","4487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","3897","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","3984","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","3619","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","3402","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","3565","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","3689.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","3340.3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","3418.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","3563.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","3132.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","3079.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
